urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,1495,0,0,0,0,radikal,"sintetizador radikal technologies accelerator, envio incluido ",rolandhispasonic,Jaén,2023/05/31,2023/07/01,2023/06/07,314,1713
0,0,0,1,1400,0,0,0,0,mpc,akai mpc 61 keys nuevo ,Luisrro,Gipuzkoa,2023/05/31,2023/06/30,2023/06/07,202,752
0,0,0,1,695,0,0,0,0,roland,roland fantom x8 ,Aguilar242,Navarra,2023/05/10,2023/06/28,2023/06/07,266,861
0,0,0,1,300,0,0,0,0,roland,roland tr8 ,trocol,Madrid,2023/05/03,2023/06/29,2023/06/07,240,659
0,0,0,1,450,0,0,0,0,korg,korg wavestate ,Markus,Granada,2023/06/02,2023/07/29,2023/06/07,78,627
0,0,0,1,830,0,0,0,0,decksaver,akai force + decksaver + opx4 ,dce,Sevilla,2023/05/31,2023/07/25,2023/06/07,156,300
0,0,0,1,711,0,0,0,0,roland,roland 1976 analog synth genesis cure camel string machine ,TheMix,Pontevedra,2022/12/29,2023/06/28,2023/06/07,1243,591
0,0,0,1,925,0,0,0,0,-,leslie 760 n autónomo ,windbass,Zaragoza,2020/06/16,2023/07/02,2023/06/07,2646,859
0,0,0,1,950,0,0,0,0,octatrack,elektron octatrack mki + 2 tarjetas 64gb y 16gb ,Javier m,Córdoba,2022/10/12,2023/06/29,2023/06/07,927,750
0,0,1,0,950,0,0,0,0,korg,o sintetizador teclado korg tr 88 workstation ,txominzar,Gipuzkoa,2023/05/24,2023/07/02,2023/06/07,226,1004
0,0,0,1,2500,0,0,0,0,-,piano de cola tchaika ,patumbao,Zaragoza,2022/11/14,2023/07/03,2023/06/07,1111,857
0,0,0,1,80,0,0,0,0,studio,controlador fatar studio 900 ,dmaio2002us,Murcia,2022/10/31,2023/06/27,2023/06/07,1906,950
1,0,0,1,28,0,0,0,0,yamaha,cartucho rom yamaha dx7s ,int3rc0m,Madrid,2022/02/27,2023/07/02,2023/06/07,1096,752
0,0,0,1,140,0,0,0,0,-,alm dinky`s taiko ,Lauki,Bizkaia,2023/06/07,2023/08/03,2023/06/07,66,502
0,0,1,0,140,0,0,0,0,roland,roland jp8080 ,AKD,Madrid,2023/05/10,2023/07/04,2023/06/07,553,208
0,0,0,1,375,0,0,0,0,roland,roland mc101 ,trocol,Madrid,2023/04/28,2023/06/30,2023/06/07,242,659
0,0,0,1,1950,0,0,0,0,hammond,"hammond sk pro 73, envio incluido ",rolandhispasonic,Jaén,2023/05/31,2023/07/01,2023/06/07,194,1713
0,0,0,1,1175,0,0,0,0,roland,sintetizador roland spv-355 ,finess7,Huelva,2022/08/20,2023/06/26,2023/06/07,1769,703
0,0,0,1,70,0,0,0,0,m-audio,teclado controlador m-audio oxigen pro mini ,Javier,Soria,2023/06/02,2023/07/29,2023/06/07,87,609
0,0,0,1,5999,0,0,0,0,the,"piano rhodes mark ii suitcase eighty eight 88, the top model! ",logan3,Madrid,2022/12/23,2023/07/02,2023/06/07,1147,580
0,0,0,1,300,0,0,0,0,eurorack,varios sintes y módulos eurorack ,Nöise&Vice,Córdoba,2023/04/17,2023/06/29,2023/06/07,2739,1074
0,0,0,1,35,0,0,0,0,-,tarjeta smart media 128mb mas adaptador ,int3rc0m,Madrid,2020/09/01,2023/07/02,2023/06/07,1981,752
0,0,0,1,180,0,0,0,0,befaco,befaco percall ,Raul Q. de Orte,Barcelona,2023/04/13,2023/07/02,2023/06/07,317,1238
0,0,0,1,95,0,0,0,0,-,icon ikeyboard 5x teclado controlador ,serieb,Lugo,2023/02/20,2023/07/01,2023/06/07,453,634
