urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,yamaha,yamaha breath control bc3 ,jassy,Valencia,2023/02/15,2023/03/28,2023/03/01,116,554
0,0,0,1,0,0,0,0,0,novation,novation sl 25 mk2 ,Produccionmusic,Zaragoza,2023/02/08,2023/03/26,2023/03/01,160,1591
0,0,0,1,0,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2023/03/27,2023/03/01,1695,281
0,0,0,1,0,0,0,0,0,m-audio,teclado midi m-audio oxygen 61 ,Cinosapsih,Málaga,2023/01/16,2023/03/29,2023/03/01,234,1041
0,0,0,1,0,0,0,0,0,-,intellijel uvca ii ,The mighty citrus,Navarra,2023/01/02,2023/03/27,2023/03/01,358,1677
0,0,0,1,0,0,0,0,0,mfb,mfb tanzbar ,granda79,Gipuzkoa,2023/02/22,2023/04/22,2023/03/01,228,733
0,0,0,1,0,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,2021/10/09,2023/03/28,2023/03/01,1588,1031
0,1,0,0,0,0,0,0,0,analogue systems ,rs30 ,shiz,Barcelona,2023/02/27,2023/04/27,2023/03/01,40,446
0,0,0,1,0,0,0,0,0,decksaver,arturia drumbrute + decksaver ,egres,Barcelona,2023/02/28,2023/04/28,2023/03/01,44,534
0,0,0,1,0,0,0,0,0,arturia,teclado controlador arturia keylab 88 mkii ,Maria,Valencia,2023/02/27,2023/04/27,2023/03/01,60,490
0,0,1,0,0,0,0,0,0,teenage engineering ,korg microkorg xl plus por op-z ,Injuve,Pontevedra,2022/10/24,2023/03/30,2023/03/01,600,625
0,0,0,1,0,0,0,0,0,kurzweil,kurzweil k2000 ,polypodium,Madrid,2022/12/29,2023/03/26,2023/03/01,198,1106
0,0,0,1,0,0,0,0,0,critter,organelle de critter and guitari ,elpezs,Madrid,2023/02/24,2023/04/24,2023/03/01,160,659
0,0,0,1,0,0,0,0,0,moog,moog voyager + vx351 + cp251 ,Ablektro,Barcelona,2022/12/26,2023/03/28,2023/03/01,518,820
0,0,0,1,0,0,0,0,0,instruments,instruments mopho sintetizador analogico ,Aguilar242,Navarra,2022/11/01,2023/03/29,2023/03/01,1008,861
0,0,0,1,0,0,0,0,0,korg,sintetizador korg wavestation ex ,AVRF,Madrid,2022/08/31,2023/03/29,2023/03/01,1782,303
0,0,0,1,0,0,0,0,0,-,modal cobalt 8x sintetizador ,Aguilar242,Navarra,2023/02/24,2023/04/25,2023/03/01,184,861
0,0,0,1,0,0,0,0,0,-,"sequential prophet 5 rev4,prophet 10 module,prophet x,prophet rev2 module, pro 3 se, pro 3, minifreak ",Storm,Bizkaia,2021/02/17,2023/03/22,2023/03/01,10328,533
0,0,0,0,0,1,0,0,0,casio,casio pt-10 ,filla,Madrid,2022/06/26,2023/03/27,2023/03/01,868,520
0,0,0,1,0,0,0,0,0,korg,korg m1 sound cards mpc-05 + msc-05 ,Russell Illsley,Málaga,2023/02/25,2023/04/25,2023/03/01,64,1512
0,0,0,1,0,0,0,0,0,empress,empress echosystem ,jefeberman,Madrid,2023/03/01,2023/04/29,2023/03/01,32,1039
0,0,0,1,0,0,0,0,0,yamaha,sampler yamaha a4000 ,xisco_76,Barcelona,2023/01/04,2023/03/27,2023/03/01,533,754
0,0,0,1,0,0,0,0,0,system,roland system 8 ,funkytime,Barcelona,2022/10/09,2023/03/25,2023/03/01,998,988
0,0,0,1,0,0,0,0,0,-,sintetizadores y material de estudio variado ,Mario,Cantabria,2023/02/28,2023/04/28,2023/03/01,234,504
0,0,0,1,0,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2023/03/30,2023/03/01,1332,533
0,0,0,1,0,0,0,0,0,moog,reserved moog dfam + thonk knobs ,Russell Illsley,Málaga,2023/02/24,2023/04/25,2023/03/01,132,1512
0,0,0,1,0,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,2021/03/29,2023/03/28,2023/03/01,5063,533
0,0,0,1,0,0,0,0,0,-,soma lyra 8 ,Ray Stonez,Valencia,2023/01/12,2023/03/29,2023/03/01,342,975
0,0,0,1,0,0,0,0,0,korg,korg electribe-a ea-1 analog modeling synthesizer ,Kryz Nop,Barcelona,2023/02/22,2023/04/20,2023/03/01,158,765
0,0,0,1,0,0,0,0,0,kurzweil,kurzweil pc4 ,Jorge,Madrid,2023/02/25,2023/04/25,2023/03/01,162,503
