,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
99,0,0,0,1,2600,0,0,0,0,yamaha,yamaha montage 7 ,Madrid,2023/10/09,2024/11/09,2024/5/17,2016
100,0,0,0,1,109,0,0,0,0,-,icon ikeyboard 6x teclado controlador ,Lugo,2024/02/23,2024/11/09,2024/5/17,762
101,0,0,0,1,320,0,0,0,0,eurorack,eurorack case 9u 86hp ,Barcelona,2024/05/11,2024/11/07,2024/5/17,111
102,0,0,0,1,175,0,0,0,0,-,soma lyra 8 fx ,Valencia,2024/01/21,2024/11/12,2024/5/17,1829
103,0,0,0,1,169,0,0,0,0,midi,midiplus x6 series iii teclado controlador midi 61 ,Lugo,2024/04/26,2024/11/11,2024/5/17,156
104,0,0,0,1,100,0,0,0,0,yamaha,yamaha modx8 y modx 8+ softcase ,Madrid,2024/05/13,2024/11/09,2024/5/17,84
105,0,0,0,1,340,0,0,0,0,korg,korg wavedrum + pie + funda env incl ,Cádiz,2024/04/26,2024/11/08,2024/5/17,230
106,0,0,0,1,230,0,0,0,0,behringer,model d behringer ,Madrid,2024/04/19,2024/11/09,2024/5/17,243
107,0,0,0,1,599,0,0,0,0,yamaha,yamaha cs01 + mr10 + mm10 + bc01 ,Barcelona,2024/05/17,2024/11/12,2024/5/17,138
108,0,0,0,1,365,0,0,0,0,novation,novation nova ,Navarra,2024/02/11,2024/11/10,2024/5/17,927
109,0,0,0,1,2,0,0,0,0,-,zips de 100 mb usados con su cajita ,Alicante,2024/05/03,2024/11/10,2024/5/17,108
110,0,0,1,0,0,0,0,0,0,novation,novation mininova ,Córdoba,2024/03/15,2024/11/08,2024/5/17,305
111,0,0,0,1,230,0,0,0,0,behringer,k2 behringer ,Madrid,2024/04/19,2024/11/09,2024/5/17,271
112,0,0,0,1,1250,0,0,0,0,sequential,sequential circuits sci prophet 600 ,Madrid,2024/05/17,2024/11/12,2024/5/17,98
113,0,0,0,1,60,0,0,0,0,arturia,arturia beatstep ,Madrid,2024/05/17,2024/11/12,2024/5/17,36
114,0,0,0,1,650,0,0,0,0,roland,roland mc-707 ,Baleares,2024/01/26,2024/11/10,2024/5/17,1752
115,0,0,0,1,780,0,0,0,0,korg,korg poly 61 ,A Coruña,2023/12/22,2024/11/11,2024/5/17,2679
116,0,0,1,0,0,0,0,0,0,dave smith ,mopho keyboard por tetra ,Barcelona,2024/02/09,2024/11/10,2024/5/17,1061
117,0,0,0,1,100,0,0,0,0,noise,módulos noise engineering ,Barcelona,2024/05/10,2024/11/04,2024/5/17,238
118,0,0,0,1,199,0,0,0,0,behringer,behringer rd-8 ,Asturias,2024/05/12,2024/11/13,2024/5/17,138
119,0,0,0,1,375,0,0,0,0,dreadbox,dreadbox nymphes ,Barcelona,2024/04/09,2024/11/07,2024/5/17,290
120,0,0,0,1,100,0,0,0,0,eurorack,varios eurorack ,Alicante,2024/05/15,2024/11/11,2024/5/17,124
121,0,0,0,1,600,0,0,0,0,korg,korg trinity plus + disco duro scsi ,Bizkaia,2024/02/16,2024/11/05,2024/5/17,601
122,0,0,0,1,0,0,0,0,0,system,erica pico system 3 modular escritorio ,S.C. de Tenerife, ,2024/11/12,2024/5/17,60
123,0,0,0,1,3300,0,0,0,0,viscount,viscount legend+pedalera+stand+banqueta ,Madrid,2024/05/10,2024/11/12,2024/5/17,96
124,0,0,0,1,175,0,0,0,0,befaco,befaco bf-22 sallen key filter ,Barcelona,2024/04/02,2024/11/10,2024/5/17,198
125,0,0,0,1,1390,0,0,0,0,hammond,hammond m3 ,Zaragoza,2024/05/17,2024/11/12,2024/5/17,68
126,0,0,0,1,22,0,0,0,0,roland,roland tb303 panel frontal replica re-303 ,Cantabria,2023/09/17,2024/11/10,2024/5/17,529
127,0,0,0,1,550,0,0,0,0,moog,moog minitaur ,Madrid,2024/03/30,2024/11/09,2024/5/17,391
128,0,0,0,1,200,0,0,0,0,kawai,kawai k1r modulo ,Madrid,2023/07/27,2024/11/12,2024/5/17,2699
129,0,0,0,1,510,0,0,0,0,moog,moog subharmonicon ,Málaga,2024/05/15,2024/11/10,2024/5/17,76
130,0,0,0,1,150,0,0,0,0,-,previo-booster a válvulas estéreo hecho a mano por lutier ,Madrid,2024/05/15,2024/11/11,2024/5/17,76
131,0,1,0,0,0,0,0,0,0,eurorack,varios modulos eurorack ,Barcelona,2024/05/03,2024/11/10,2024/5/17,154
