urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,2022/09/12,2023/01/25,2022/12/31,299,1188
0,1,0,0,0,0,0,0,1,roli,"roli seaboard block, funcionando o para ",dave,Cádiz,2022/11/30,2023/01/29,2022/12/31,149,416
0,0,0,1,0,0,0,0,0,elektron,elektron sps-1 mk-i ,fine,Pontevedra,2022/11/28,2023/01/30,2022/12/31,316,418
0,0,0,1,0,0,0,0,0,akai,akai mpk 225 ,jazzman78,Madrid,2022/12/10,2023/01/27,2022/12/31,162,874
0,0,0,1,0,0,0,0,0,empress,zoia empress ,n.roman,Valladolid,2022/12/27,2023/02/25,2022/12/31,134,697
0,0,0,1,0,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2023/01/30,2022/12/31,1519,281
0,0,0,1,0,0,0,0,0,roland,roland d-50 ,7ºDisminuido,Málaga,2022/12/10,2023/01/26,2022/12/31,320,1286
0,0,0,1,0,0,0,0,0,audio,udo audio super 6 blue ,Miguel,Málaga,2022/12/10,2023/01/27,2022/12/31,268,611
0,0,0,1,0,0,0,0,0,dave smith ,prophet 08 pe ,roy242,Valencia,2022/11/23,2023/01/25,2022/12/31,694,498
0,0,0,1,0,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,2021/10/09,2023/01/28,2022/12/31,1458,1031
0,0,1,0,0,0,0,0,0,teenage engineering ,korg microkorg xl plus por op-z ,Injuve,Pontevedra,2022/10/24,2023/01/28,2022/12/31,438,625
0,0,0,1,0,0,0,0,0,neutron,neutron semimodular analógico ,sasl,Valencia,2021/02/15,2023/01/27,2022/12/31,1532,435
0,0,0,1,0,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,2022/03/09,2023/01/26,2022/12/31,979,481
0,0,0,1,0,0,0,0,0,moog,moog voyager + vx351 + cp251 ,Ablektro,Barcelona,2022/12/26,2023/01/29,2022/12/31,222,820
0,0,0,1,0,0,0,0,0,roland,tarjetas roland sn-u110 02 y 12 ,Onyar,Girona,2022/01/02,2023/01/25,2022/12/31,889,521
0,0,0,1,0,0,0,0,0,yamaha,yamaha rx8 con envío ,Josep Thió,Girona,2022/12/29,2023/02/28,2022/12/31,162,1081
1,0,0,1,0,0,0,0,0,system,roland system 8 ,funkytime,Barcelona,2022/10/09,2023/01/29,2022/12/31,725,988
0,0,0,1,0,0,0,0,0,arturia,arturia drumbrute ,PABLO,Málaga,2022/12/25,2023/02/23,2022/12/31,114,366
0,0,0,1,0,0,0,0,0,korg,sintetizador va korg ms2000r ,Pablo,Madrid,2022/10/09,2023/01/26,2022/12/31,1101,494
0,0,0,1,0,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2023/01/26,2022/12/31,1157,533
0,1,0,0,0,0,0,0,0,behringer,behringer ms-1 bk ,eTorr,Bizkaia,2022/12/03,2023/01/28,2022/12/31,182,524
0,0,0,1,0,0,0,0,0,octatrack,elektron octatrack mki + 2 tarjetas 64gb y 16gb ,Javier m,Córdoba,2022/10/12,2023/01/29,2022/12/31,415,750
0,0,0,1,0,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,2021/03/29,2023/01/26,2022/12/31,4807,533
0,0,0,1,0,0,0,0,0,nord lead ,3 ,M.E.M.O.,Málaga,2022/12/24,2023/02/19,2022/12/31,344,486
0,0,0,1,0,0,0,0,0,-,asm hydrasynth ,sasl,Valencia,2021/09/03,2023/01/26,2022/12/31,3758,435
0,0,0,1,0,0,0,0,0,noise,basimilus iteritas alter noise engineering ,taikpod,Barcelona,2022/12/29,2023/02/27,2022/12/31,84,748
0,0,0,1,0,0,0,0,0,nord lead ,clavia 4r ,Beached,Baleares,2022/04/23,2023/01/25,2022/12/31,1755,668
0,0,0,1,0,0,0,0,0,eurorack,toms 000 eurorack ,liradigital MRF,Madrid,2022/07/22,2023/01/27,2022/12/31,808,1419
0,0,0,1,0,0,0,0,0,roland,roland xv 5080 actualizado ,7ºDisminuido,Málaga,2022/02/05,2023/01/26,2022/12/31,2926,1286
0,0,0,1,0,0,0,0,0,vermona,órgano vermona et6-1 ,polypodium,Madrid,2022/12/24,2023/01/29,2022/12/31,332,1106
0,0,0,1,0,0,0,0,0,volca,korg volca sample mk1 pajen firmware ,Øliveira,Pontevedra,2022/12/29,2023/02/27,2022/12/31,86,964
0,0,0,1,0,0,0,0,0,roland,sintetizador roland spv-355 ,finess7,Huelva,2022/08/20,2023/01/27,2022/12/31,987,703
0,0,0,1,0,0,0,0,0,-,manual impreso mc909 en español ,bioroide,Madrid,2022/10/11,2023/01/26,2022/12/31,206,845
0,0,0,1,0,0,0,0,0,yamaha,yamaha sy77 ,moog1406,Girona,2022/03/16,2023/01/26,2022/12/31,1141,637
0,0,0,1,0,0,0,0,0,nord lead ,sonidos custom para a1 ,Kurzleader,Cuenca,2018/04/11,2023/01/28,2022/12/31,3565,1049
0,0,0,1,0,0,0,0,0,eurorack,modulos eurorack rebajados ,tomiwilli,Madrid,2022/10/03,2023/01/25,2022/12/31,1700,986
0,0,0,1,0,0,0,0,0,behringer,behringer monopoly ,moog1406,Girona,2022/03/18,2023/01/27,2022/12/31,698,637
0,0,0,1,0,0,0,0,0,black corporation ,deckard’s voice ,Aponsa,Barcelona,2022/12/10,2023/02/07,2022/12/31,386,610
