urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,1,0,0,0,0,0,0,0,-,nord stage 3 compact o electro 6d 73 ,kike22,Murcia,2022/06/14,2022/09/28,2022/08/30,370
0,0,0,1,25,0,0,0,0,-,tarjetas roland sn-u110 02 y 12 ,Onyar,Girona,2022/01/02,2022/09/16,2022/08/30,557
0,0,0,1,30,0,0,0,0,-,delay korg monotron ,El Corto Adiós,Gipuzkoa,2022/08/23,2022/10/19,2022/08/30,158
0,0,0,1,115,0,0,0,0,-,transient 8s secuenciador eurorack de 8 pasos ,moog1406,Girona,2020/10/30,2022/10/08,2022/08/30,530
0,0,0,1,260,0,0,0,0,-,tukra tesseract modular generador de baterias y secuenciador midi eurorack ,Blasting Modular,Barcelona,2022/08/16,2022/10/17,2022/08/30,242
0,0,0,1,800,0,0,0,0,-,teenage engineering op-1 + funda oficial ,vulgatron,Madrid,2022/05/19,2022/09/07,2022/08/30,660
0,0,0,1,250,0,0,0,0,-,korg ns5r modulo de sonido del korg n264 ,Pablo Bauzá,Alicante,2022/01/07,2022/09/23,2022/08/30,852
0,0,0,1,3349,0,0,0,0,-,sequential prophet 5 rev4 ,Storm,Bizkaia,2021/02/17,2022/09/26,2022/08/30,7924
0,0,0,1,1000,0,0,0,0,-,hammond xk-3 ,facallema,A Coruña,2021/02/17,2022/09/26,2022/08/30,220
0,0,0,1,800,0,0,0,0,-,yamaha modx6 ,ARPEGGIATORNIK,Granada,2022/08/16,2022/10/18,2022/08/30,220
0,0,0,1,450,0,0,0,0,-,studiologic sl88 grand ,Armando Ferrer,Madrid,2022/08/23,2022/10/22,2022/08/30,256
0,0,0,1,450,0,0,0,0,-,korg wavestate ,davne,Madrid,2022/07/25,2022/09/28,2022/08/30,596
0,0,0,1,60,0,0,0,0,-,roland memory card 256 ,Súper-Bebé,Granada,2022/06/19,2022/09/27,2022/08/30,408
0,0,0,1,49,0,0,0,0,-,swissonic easykey 25 ,moog1406,Girona,2022/06/02,2022/10/04,2022/08/30,276
0,0,0,1,250,0,0,0,0,-,teclado midi m-audio axiom pro 49 ,esferarocks,Bizkaia,2017/09/10,2022/10/13,2022/08/30,745
0,0,0,1,259,0,0,0,0,-,arturia drumbrute ,moog1406,Girona,2022/04/07,2022/09/10,2022/08/30,566
0,0,0,1,55,0,0,0,0,-,intellijel buff multiple · eurorack ,David,Valladolid,2022/07/14,2022/09/12,2022/08/30,302
0,0,0,1,550,0,0,0,0,-,roland fantom s 61 ,mikysound,Alicante,2022/07/11,2022/09/09,2022/08/30,448
0,0,0,1,250,0,0,0,0,-,eurorack bubble sound dualsem20 ,siropene,Madrid,2022/08/23,2022/09/28,2022/08/30,104
0,0,0,1,219,0,0,0,0,-,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2022/09/28,2022/08/30,557
0,0,0,1,460,0,0,0,0,-,eurorack loquelic iteritas percido ,siropene,Madrid,2022/08/23,2022/09/28,2022/08/30,106
0,0,0,1,250,0,0,0,0,-,korg sp250 nuevo sin uso con atril y banqueta ,Musico 28,Zaragoza,2022/07/07,2022/09/05,2022/08/30,475
0,0,0,1,2050,0,0,0,0,-,korg kronos 2 ,davne,Madrid,2022/07/25,2022/09/28,2022/08/30,745
0,0,0,1,59,0,0,0,0,-,yamaha vrc 101 keyboard plucked & tuned percussion group ,moog1406,Girona,2021/06/28,2022/09/26,2022/08/30,270
0,0,0,1,0,0,0,0,0,-,"varios módulos make noise, mutable, cwejman en estado impecable ",funfanatic,Barcelona,2022/07/07,2022/09/05,2022/08/30,654
0,0,1,0,0,0,0,0,0,-,roland s-220 sampler ,elprofesordedanza,Tarragona,2022/07/05,2022/09/28,2022/08/30,453
0,0,0,1,499,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,2021/03/29,2022/09/25,2022/08/30,4222
0,0,0,1,249,0,0,0,0,-,zoom arq anillo sintetizador nuevo ,moog1406,Girona,2022/06/10,2022/09/04,2022/08/30,473
0,0,0,1,620,0,0,0,0,-,soma lyra-8 ,roy242,Valencia,2022/08/24,2022/10/23,2022/08/30,188
0,0,0,1,60,0,0,0,0,-,doepfer a 106 5 sem filter ,Øliveira,Pontevedra,2022/08/28,2022/10/27,2022/08/30,60
0,0,0,1,2800,0,0,0,0,-,prophet sequential x ,luca7,Madrid,2022/08/09,2022/10/08,2022/08/30,216
0,0,0,1,350,0,0,0,0,-,microkorg s ,Misspocoyo,Córdoba,2022/08/16,2022/10/17,2022/08/30,230
0,0,0,1,580,0,0,0,0,-,tarjeta exb-moss ,Carlos,Madrid,2022/08/23,2022/10/19,2022/08/30,170
0,0,0,1,65,0,0,0,0,-,behringer 305 output module ,Øliveira,Pontevedra,2022/08/27,2022/10/26,2022/08/30,74
0,0,0,1,160,0,0,0,0,-,expert sleepers disting mk4 - módulo eurorack ,Darth Synth,Barcelona,2022/06/11,2022/09/13,2022/08/30,340
0,0,0,1,130,0,0,0,0,-,mutable instruments braids clone ,Wallace,La Rioja,2022/07/04,2022/09/10,2022/08/30,266
0,0,0,1,930,0,0,0,0,-,nord lead 3 ,Dmode,Barcelona,2022/02/12,2022/09/20,2022/08/30,470
0,0,0,1,160,0,0,0,0,-,moog werkstatt 01 + cv expander ,Darth Synth,Barcelona,2022/06/20,2022/09/13,2022/08/30,475
0,0,0,1,1350,0,0,0,0,-,sintetizador kawai sx-210 ,finess7,Huelva,2022/02/14,2022/09/20,2022/08/30,1390
0,0,0,1,430,0,0,0,0,-,moog mother 32 ,Socri,Sevilla,2022/08/09,2022/09/28,2022/08/30,312
0,0,0,1,1200,0,0,0,0,-,hammond l122 recien restaurado ,organero,Cádiz,2021/07/24,2022/08/31,2022/08/30,677
0,0,0,1,1070,0,0,0,0,-,asm hydrasynth ,sasl,Valencia,2021/09/03,2022/09/19,2022/08/30,3212
0,0,0,1,930,0,0,0,0,-,novation peak ,roy242,Valencia,2022/08/16,2022/09/28,2022/08/30,208
0,0,0,1,210,0,0,0,0,-,korg electribe s mk2 ,drumax,Valencia,2019/06/19,2022/09/28,2022/08/30,1885
