urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,45,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,2022/03/09,2022/11/28,2022/11/01,741,481
0,0,0,1,1800,0,0,0,0,roland,roland re-501 ,pauperrasta,Barcelona,2022/09/23,2022/11/25,2022/11/01,390,1192
0,0,0,1,550,0,0,0,0,-,leslie 760 ,Kike Ochoa Fernandez,Madrid,2022/01/23,2022/11/28,2022/11/01,656,1867
0,0,0,1,50,0,0,0,0,eurorack,modulos eurorack ultimos-rebajados ,curve259,Araba,2020/04/17,2022/12/01,2022/11/01,15343,709
0,0,0,1,490,0,0,0,0,korg,korg krome 61 ,ELKE_FALTABA,Cuenca,2022/02/07,2022/11/19,2022/11/01,1796,875
0,0,0,1,75,0,0,0,0,roland,roland sr-jv80-12 hip hop expansion board ,tukutra,Madrid,2021/11/22,2022/12/12,2022/11/01,206,784
0,0,0,1,120,0,0,0,0,behringer,behringer bcr2000 ,chinog,Madrid,2022/08/14,2022/12/29,2022/11/01,360,632
0,0,0,1,245,0,0,0,0,instruments,instruments mopho ,Aguilar242,Navarra,2022/11/01,2022/12/31,2022/11/01,26,861
0,0,0,1,140,0,0,0,0,befaco,befaco kickall ,Xavi,Barcelona,2022/09/02,2022/11/01,2022/11/01,238,408
0,0,0,1,400,0,0,0,0,korg,sintetizador korg wavestation ex ,AVRF,Madrid,2022/08/31,2022/12/14,2022/11/01,558,303
0,0,1,0,0,0,0,0,0,elektron,elektron monomachine sfx60 mkii por prophet 6 ,dorremifasol,Barcelona,2022/10/29,2022/12/28,2022/11/01,136,1287
0,0,0,1,25,0,0,0,0,roland,tarjetas roland sn-u110 02 y 12 ,Onyar,Girona,2022/01/02,2022/11/30,2022/11/01,741,521
0,0,0,1,1770,0,0,0,0,se,sequential pro 3 se ,moog1406,Girona,2021/08/12,2022/11/20,2022/11/01,1542,637
0,0,0,1,790,0,0,0,0,teenage engineering ,op-1 ,ivang,Madrid,2022/10/02,2022/12/01,2022/11/01,338,533
0,0,0,1,300,0,0,0,0,korg,korg ns5r modulo de sonido del korg n264 ,Pablo Bauzá,Alicante,2022/01/07,2022/11/25,2022/11/01,1170,1153
0,0,0,1,1400,0,0,0,0,yamaha,tyros 3 con soporte yamaha y flifgh case ,J. Carlos,Zaragoza,2022/09/09,2022/11/08,2022/11/01,362,764
0,0,0,1,3399,0,0,0,0,-,sequential prophet 5 rev4 ,Storm,Bizkaia,2021/02/17,2022/11/30,2022/11/01,8750,533
0,0,0,1,1000,0,0,0,0,hammond,hammond xk-3 ,facallema,A Coruña,2022/08/21,2022/11/30,2022/11/01,658,918
0,0,0,1,200,0,0,0,0,waldorf,waldorf streichfett + soporte a medida ,Ismael Esteban,Guadalajara,2022/11/01,2022/12/31,2022/11/01,70,1341
0,0,0,0,0,1,0,0,0,casio,casio pt-10 ,filla,Madrid,2022/06/26,2022/11/26,2022/11/01,701,520
