urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,odyssey,stardust synth cover para korg arp odyssey mini ,Mario,Cantabria,2023/05/28,2023/07/02,2023/06/04,44,504
0,0,0,1,0,0,0,0,0,kilpatrick,kilpatrick phenol ,Modular V system,Sevilla,2023/06/01,2023/07/31,2023/06/04,166,1551
0,0,0,1,0,0,0,0,0,yamaha,yamaha dx7 ii d ,yosualogan,Cantabria,2022/05/19,2023/06/29,2023/06/04,3028,1090
0,0,0,1,0,0,0,0,0,novation,novation remote 25 ,bioroide,Madrid,2022/10/09,2023/06/29,2023/06/04,1029,845
0,0,0,1,0,0,0,0,0,korg,korg m 50 88 teclas ,jasynth,Madrid,2022/12/30,2023/07/03,2023/06/04,1273,769
0,0,0,1,0,0,0,0,0,-,modulos a buen precio! creo ,El Corto Adiós,Gipuzkoa,2023/05/28,2023/07/27,2023/06/04,240,1388
0,0,0,1,0,0,0,0,0,erica synths ,black wavetable + rom extras ,o_ak,Albacete,2023/05/31,2023/07/30,2023/06/04,98,410
0,0,0,1,0,0,0,0,0,eurorack,"eurorack módulos, maletín, sintes, multipistas, grabadora ",infamegarcia,Lugo,2023/04/17,2023/06/25,2023/06/04,2168,1239
0,0,0,1,0,0,0,0,0,casio,casio vl-tone vl-1 ,eTorr,León,2021/04/01,2023/06/29,2023/06/04,1671,524
0,0,0,1,0,0,0,0,0,eurorack,"doepfer a-100 eurorack mini case, raw ",Tomasynt,Madrid,2023/04/13,2023/06/27,2023/06/04,294,863
0,0,0,1,0,0,0,0,0,roland,tarjetas roland sr-jv80 para sintetizadores jv_xv_xp ,LuisG,Madrid,2020/08/28,2023/07/04,2023/06/04,4170,484
0,0,0,1,0,0,0,0,0,kawai,kawai vpc1 + mesa ,PedroJSkywalker,Barcelona,2023/06/02,2023/08/01,2023/06/04,138,1537
0,0,0,1,0,0,0,0,0,roland,roland fa 06 + extras *ultimo precio* ,sonic,Valencia,2023/02/28,2023/07/03,2023/06/04,1366,540
0,0,0,1,0,0,0,0,0,yamaha,sintetizador yamaha mx49 ,Funnyman,Madrid,2023/05/28,2023/07/27,2023/06/04,132,844
0,0,0,1,0,0,0,0,0,yamaha,yamaha sy22 + 6 teclas de recambio ,Lucas Albaladejo,Murcia,2023/05/21,2023/07/22,2023/06/04,200,1527
0,0,0,1,0,0,0,0,0,bheringer,bheringer umx 61 ,40db,Valencia,2021/03/04,2023/06/07,2023/06/04,1570,298
0,0,0,1,0,0,0,0,0,hammond,organo hammond x5 mkii ,windbass,Zaragoza,2023/01/06,2023/06/26,2023/06/04,1317,859
0,0,0,1,0,0,0,0,0,hammond,hammond c3 1961 chop down portable ,windbass,Zaragoza,2018/12/28,2023/06/28,2023/06/04,6242,859
0,0,0,1,0,0,0,0,0,-,teclado controlador midiplus x3 ,jmgg,Tarragona,2023/05/14,2023/07/12,2023/06/04,140,421
