urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,2022/05/08,2022/10/25,2022/10/01,940,1073
0,0,0,1,2750,0,0,0,0,elektron,elektron monomachine mk2 sfx 60+ ,shiz,Barcelona,2022/10/01,2022/11/29,2022/10/01,88,446
0,0,0,1,325,0,0,0,0,modal electronics ,cobalt 5s ,Luis Martín (Roma 18),Tarragona,2022/10/01,2022/11/29,2022/10/01,64,1845
0,0,0,1,140,0,0,0,0,roland,módulo eurorack roland torcido ,VINIK,Barcelona,2022/09/17,2022/11/14,2022/10/01,226,385
0,0,0,1,1000,0,0,0,0,kawai,kawai mp 11 ,Daniel Lillo Mendoza,Sevilla,2022/08/31,2022/10/30,2022/10/01,229,1879
0,0,0,1,150,0,0,0,0,-,teclado maestro esi 88 con controladores y teclas contrapesadas ,Mister Carrington,Madrid,2022/09/10,2022/10/30,2022/10/01,364,1707
0,0,0,1,60,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,2022/09/10,2022/10/22,2022/10/01,109,1188
0,0,0,1,600,0,0,0,0,korg,korg lambda **para reparar** ,tomiwilli,Madrid,2022/10/01,2022/11/29,2022/10/01,166,986
0,0,0,1,1300,0,0,0,0,korg,korg pa3x le con funda ,saimonfun,Madrid,2022/09/27,2022/10/29,2022/10/01,128,976
0,0,0,1,95,0,0,0,0,-,neutral labs - nermal v1 1 [modular eurorack] ,Davitek,Barcelona,2022/09/24,2022/11/22,2022/10/01,108,712
0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,2022/07/04,2022/10/04,2022/10/01,848,389
0,0,0,1,220,0,0,0,0,roli,roli seaboard block ,rvperez,Madrid,2022/06/05,2022/10/22,2022/10/01,558,782
0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,2021/06/22,2022/11/25,2022/10/01,2629,1301
0,0,0,1,280,0,0,0,0,red,red panda particle ,andreslok,Barcelona,2022/09/24,2022/11/21,2022/10/01,126,963
0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,FranZiskAner,Barcelona,2022/08/28,2022/10/27,2022/10/01,138,1198
0,0,0,1,120,0,0,0,0,crumar,controlador hammond midi drawbars tiradores crumar ,pabloevaristo,Alicante,2022/09/30,2022/11/28,2022/10/01,118,1403
0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2022/10/21,2022/10/01,1124,281
0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,2021/04/01,2022/10/30,2022/10/01,638,1293
0,0,0,1,600,0,0,0,0,roland,roland d-50 ,subsoniq,Barcelona,2021/12/30,2022/10/10,2022/10/01,1316,884
0,0,0,1,450,0,0,0,0,roland,sampler roland s750 + monitor + ratón + librería ,moogi,Cádiz,2022/09/17,2022/10/26,2022/10/01,334,539
0,0,0,1,435,0,0,0,0,erica synths ,zen delay ninja tune ,sasl,Valencia,2021/09/23,2022/10/24,2022/10/01,1470,435
0,0,0,1,650,0,0,0,0,-,clon schulte compact phasing a ,moog1406,Girona,2021/10/08,2022/11/01,2022/10/01,386,637
0,0,0,1,400,0,0,0,0,teenage engineering ,op-z ,David Lechus,Madrid,2022/09/29,2022/11/28,2022/10/01,68,1132
0,0,0,1,300,0,0,0,0,casio,"casio cz1000 cosmo synthesiser, sintetizador digital de 1984 ",marc tena,Barcelona,2022/09/24,2022/11/19,2022/10/01,162,875
0,0,1,0,0,0,0,0,0,analogaudio1,patches analogaudio1 ,javi big city,Zaragoza,2022/09/27,2022/11/26,2022/10/01,102,1237
0,0,0,1,1,0,0,0,0,eurorack,varios eurorack ,Wallace,La Rioja,2022/09/27,2022/11/08,2022/10/01,406,697
0,0,0,1,450,0,0,0,0,yamaha,yamaha su 700 ,nekrend,Araba,2022/08/28,2022/10/27,2022/10/01,402,743
0,0,0,1,200,0,0,0,0,jomox,jomox t-resonator mkii ,Alinter,Cádiz,2022/07/09,2022/10/20,2022/10/01,889,719
0,0,0,1,2500,0,0,0,0,-,cirklon mk2 cvio version ,da_beat,Madrid,2022/09/10,2022/10/26,2022/10/01,358,704
0,0,0,1,1000,0,0,0,0,pearl,piano pearl river pd180d ,moog1406,Girona,2020/09/20,2022/10/08,2022/10/01,830,637
0,0,0,1,80,0,0,0,0,boss,boss overdrive od-3 ,andreslok,Barcelona,2022/09/24,2022/11/21,2022/10/01,84,963
0,0,1,0,400,0,0,0,0,poly,poly beebo no ,ElmoreFreak,Las Palmas,2022/06/08,2022/10/13,2022/10/01,412,1101
0,0,0,1,380,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,2021/10/09,2022/10/27,2022/10/01,1156,1031
0,0,1,0,200,0,0,0,0,eurorack,modulos eurorack ,alta-fi,Baleares,2022/03/01,2022/10/20,2022/10/01,1286,670
0,0,0,1,1000,0,0,0,0,-,modx-8 en mano ,candidamondo,Teruel,2022/09/10,2022/11/11,2022/10/01,478,1249
0,0,0,1,250,0,0,0,0,decksaver,arturia drumbrute + decksaver ,Onyar,Girona,2022/09/25,2022/10/28,2022/10/01,142,521
0,0,0,1,150,0,0,0,0,shakmat modular ,clock o'pawn nuevo ,Adrià Gil,Barcelona,2022/07/21,2022/10/30,2022/10/01,323,924
0,1,0,0,0,0,0,0,0,midi,ov ocd conversor cv a midi ,Vcs3,Baleares,2022/09/10,2022/11/06,2022/10/01,90,351
0,0,0,1,729,0,0,0,0,moog,moog sub phatty ,moog1406,Girona,2022/03/09,2022/10/05,2022/10/01,1194,637
0,0,0,1,40,0,0,0,0,cre8audio,cre8audio cellz ,Raul Q. de Orte,Barcelona,2022/09/17,2022/10/27,2022/10/01,88,1238
0,0,0,1,170,0,0,0,0,befaco,vco even befaco ,Caradusanto,Málaga,2022/09/10,2022/11/07,2022/10/01,178,1141
0,0,0,1,1500,0,0,0,0,-,nord c2 - rebajado! ,Ric,Murcia,2022/04/04,2022/11/20,2022/10/01,540,286
0,0,0,1,575,0,0,0,0,elektron,elektron digitakt reestreno ,aldentyrel,Asturias,2022/09/10,2022/10/27,2022/10/01,430,1076
0,0,0,1,55,0,0,0,0,roland,dos tarjetas para roland r8 memory card m-256e y contemporary percusion ,int3rc0m,Madrid,2022/03/30,2022/10/27,2022/10/01,677,752
0,0,0,1,165,0,0,0,0,-,makenoise st0 ,Lavenzza,Madrid,2022/08/29,2022/10/28,2022/10/01,340,843
0,0,0,1,240,0,0,0,0,neutron,neutron semimodular analógico ,sasl,Valencia,2021/02/15,2022/10/24,2022/10/01,1314,435
0,0,0,1,490,0,0,0,0,korg,korg modwave + librerias envío incluido rebaja ,moogi,Cádiz,2022/05/17,2022/10/27,2022/10/01,1213,539
0,0,0,1,45,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,2022/03/09,2022/10/25,2022/10/01,701,481
0,0,0,1,1800,0,0,0,0,roland,roland re-501 ,pauperrasta,Barcelona,2022/09/24,2022/10/27,2022/10/01,204,1192
0,0,0,1,430,0,0,0,0,oto,oto machines oto bam ,PLH,Barcelona,2022/08/14,2022/10/13,2022/10/01,376,228
