urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,115,0,0,0,0,-,donner b1 tb-303 bass ,finaldesousa,Barcelona,2023/08/05,2023/09/27,2023/08/07,150,1278
0,0,0,1,1495,0,0,0,0,radikal,"sintetizador radikal technologies accelerator, envio incluido ",rolandhispasonic,Jaén,2023/07/31,2023/07/01,2023/08/07,314,1713
0,0,0,1,1350,0,0,0,0,mpc,akai mpc 61 keys nuevo ,Luisrro,Gipuzkoa,2023/05/27,2023/08/29,2023/08/07,591,752
0,0,0,1,695,0,0,0,0,roland,roland fantom x8 + ampliado 512 ram + 2gb flash ,Aguilar242,Navarra,2023/05/11,2023/08/29,2023/08/07,591,861
0,0,0,1,300,0,0,0,0,roland,roland tr8 ,trocol,Madrid,2023/05/03,2023/08/26,2023/08/07,428,659
0,0,0,1,270,0,0,0,0,roland,roland eg 101 ,yosualogan,Cantabria,2023/06/16,2023/08/30,2023/08/07,227,1090
0,0,0,1,450,0,0,0,0,korg,korg wavestate ,Markus,Granada,2023/08/02,2023/07/29,2023/08/07,78,627
0,0,0,1,830,0,0,0,0,decksaver,akai force + decksaver + opx4 ,dce,Sevilla,2023/07/31,2023/07/25,2023/08/07,156,300
0,0,0,1,699,0,0,0,0,roland,roland 1976 analog synth genesis cure camel string machine ,TheMix,Pontevedra,2022/12/29,2023/08/23,2023/08/07,1481,591
0,0,0,1,145,0,0,0,0,novation,novation circuit ,Bel,Baleares,2023/05/10,2023/09/22,2023/08/07,254,275
0,0,0,1,925,0,0,0,0,-,leslie 760 n autónomo ,windbass,Zaragoza,2020/06/16,2023/08/25,2023/08/07,2749,859
0,0,0,1,950,0,0,0,0,octatrack,elektron octatrack mki + 2 tarjetas 64gb y 16gb ,Javier m,Córdoba,2022/10/12,2023/06/29,2023/08/07,927,750
1,0,1,0,950,0,0,0,0,korg,o sintetizador teclado korg tr 88 workstation ,txominzar,Gipuzkoa,2023/07/24,2023/07/02,2023/08/07,226,1004
0,0,0,1,2500,0,0,0,0,-,piano de cola tchaika ,patumbao,Zaragoza,2022/11/14,2023/07/03,2023/08/07,1111,857
0,0,0,1,80,0,0,0,0,studio,controlador fatar studio 900 ,dmaio2002us,Murcia,2022/10/31,2023/06/27,2023/08/07,1906,950
