,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
106,0,0,0,1,285,0,0,0,0,error,error instruments brinta ,Barcelona,2024/05/21,2024/11/15,2024/5/26,96
107,0,0,0,1,375,0,0,0,0,dreadbox,dreadbox nymphes ,Barcelona,2024/04/09,2024/11/17,2024/5/26,322
108,0,0,0,1,600,0,0,0,0,korg,korg trinity plus + disco duro scsi ,Bizkaia,2024/02/16,2024/11/18,2024/5/26,625
109,0,0,0,1,0,0,0,0,0,system,erica pico system 3 modular escritorio ,S.C. de Tenerife, ,2024/11/12,2024/5/26,112
110,0,0,0,1,3300,0,0,0,0,viscount,viscount legend+pedalera+stand+banqueta ,Madrid,2024/05/12,2024/11/12,2024/5/26,128
111,0,0,0,1,175,0,0,0,0,befaco,befaco bf-22 sallen key filter ,Barcelona,2024/04/02,2024/11/15,2024/5/26,222
112,0,0,1,0,200,0,0,0,0,artiphon,o controlador artiphon instrument 1 ,Barcelona,2024/05/24,2024/11/17,2024/5/26,87
113,0,0,0,1,490,0,0,0,0,yamaha,yamaha cp300 ,Baleares,2024/02/09,2024/11/16,2024/5/26,1150
114,0,0,0,1,550,0,0,0,0,moog,moog minitaur ,Madrid,2024/03/30,2024/11/15,2024/5/26,425
115,0,0,0,1,200,0,0,0,0,kawai,kawai k1r modulo ,Madrid,2023/07/27,2024/11/12,2024/5/26,2715
116,0,0,0,1,150,0,0,0,0,varigate,malekko varigate 4+ black leer bien ,Barcelona,2023/07/03,2024/11/18,2024/5/26,2625
117,0,0,0,1,350,0,0,0,0,yamaha,órgano yamaha electone fs-20 + banqueta asiento abatible ,Tarragona,2024/04/01,2024/09/28,2024/5/26,346
118,0,0,0,1,100,0,0,0,0,midi,interface midi 8 8 entradas salidas steinberg ,Barcelona,2024/04/21,2024/11/15,2024/5/26,336
119,0,0,0,1,470,0,0,0,0,korg,korg minilogue ,Zaragoza,2024/04/28,2024/11/17,2024/5/26,423
